species	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
shimia marina	20	36	0	10	8	98	0	0	26	3	286	63	0	36	1	7	1122	0	35	1	0	0
photobacterium rosenbergii	2	1	0	0	1	0	11	0	25	138	5	0	0	0	17	0	14	0	7	13	0	0
enterococcus faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157
thalassotalea agarivorans	0	3	0	0	24	15	0	0	64	2	15	0	0	0	0	11	126	0	0	0	0	0
sagittula stellata	21	34	2	10	5	71	1	0	65	10	156	47	0	64	4	8	225	6	41	3	0	0
azotobacter vinelandii	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	26	0	0	0	0
hyphomicrobium hollandicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
pseudoalteromonas phenolica	0	4	0	2	30	1	1	9	5	0	2	0	0	0	0	0	6	0	1	0	0	0
arenibacter nanhaiticus	6	5	0	0	0	3	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0
gilvimarinus chinensis	24	10	0	5	8	51	0	0	10	0	38	15	0	7	0	6	109	0	0	1	0	0
lentisphaera araneosa	0	9	0	0	6	2	0	0	0	0	0	70	0	0	0	0	8	0	0	0	0	0
poriferibacter numazuense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0
methylophaga marina	2	34	0	828	1950	0	0	0	5347	64	0	0	0	7409	312	0	0	0	3452	139	0	0
tropicimonas sediminicola	4	13	0	0	2	8	0	0	14	1	17	5	2	12	0	4	19	0	9	0	0	0
ruegeria mobilis	10	153	11	11	14	18	1	6	88	15	152	13	0	67	3	28	130	12	35	4	0	0
desulfovibrio gigas	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0
cohaesibacter marisflavi	0	8	0	4	0	0	2	0	0	0	0	0	0	0	1	0	11	0	0	1	0	0
melittangium lichenicola	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lewinella nigricans	0	5	0	0	0	0	0	0	22	0	0	0	0	28	0	0	30	25	58	0	0	0
bradyrhizobium lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
fusibacter paucivorans	3	7	0	37	8992	0	58	0	55	3066	4	31	2	27	7	0	274	0	58	1744	0	0
bacillus megaterium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1327
novosphingobium subarcticum	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
hyphomonas neptunium	8	17	6	5	12	12	0	0	163	1	3	9	0	36	0	0	17	0	51	0	0	0
portibacter lacus	8	7	0	0	5	3	0	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0
acinetobacter radioresistens	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	35	0	0	0	0
polymorphobacter sphingomonadaceae bacterium	0	0	0	0	2	0	0	0	0	0	7	0	0	9	0	0	10	0	0	0	0	0
alkaliphilus metalliredigens	2	1	0	0	97	0	2	0	26	49	3	0	0	2	1	0	44	0	0	455	0	0
empedobacter brevis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
corynebacterium tuberculostearicum	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0
leptotrichia wadei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
algicola bacteriolytica	0	6	0	0	1	4	0	3	7	0	2	5	0	0	0	2	0	0	0	0	0	0
